id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
90153,Female,47,1,28.0,0,1-2 Year,Yes,45546.0,124.0,104,1
76186,Female,42,1,28.0,0,1-2 Year,Yes,2630.0,124.0,211,0
48614,Female,21,1,26.0,0,< 1 Year,Yes,32148.0,160.0,24,0
62991,Female,75,1,28.0,1,1-2 Year,Yes,30175.0,26.0,185,0
2158,Female,24,1,46.0,1,< 1 Year,No,28376.0,152.0,63,0
64104,Female,61,1,50.0,0,1-2 Year,Yes,2630.0,8.0,10,0
78053,Male,44,1,8.0,0,1-2 Year,Yes,55300.0,124.0,267,1
35215,Male,78,1,28.0,0,1-2 Year,Yes,37118.0,26.0,231,0
30084,Female,42,1,28.0,0,1-2 Year,Yes,53031.0,26.0,253,0
98190,Male,23,1,28.0,1,< 1 Year,No,46091.0,152.0,105,0
55506,Female,37,1,8.0,0,1-2 Year,Yes,2630.0,154.0,286,1
57679,Male,73,1,28.0,0,1-2 Year,Yes,41632.0,122.0,194,0
65113,Male,24,1,17.0,0,< 1 Year,Yes,38980.0,152.0,141,0
69617,Male,33,1,26.0,0,1-2 Year,Yes,39465.0,120.0,149,1
59772,Male,24,1,10.0,1,< 1 Year,No,14175.0,152.0,33,0
72294,Female,21,1,3.0,0,< 1 Year,Yes,41347.0,160.0,38,0
35393,Male,44,1,7.0,0,1-2 Year,No,2630.0,124.0,62,0
66695,Female,25,1,37.0,1,< 1 Year,No,23693.0,152.0,184,0
58264,Male,34,1,12.0,0,1-2 Year,Yes,36280.0,26.0,259,0
15949,Male,22,1,2.0,1,< 1 Year,No,30157.0,152.0,68,0
77437,Male,43,1,13.0,0,1-2 Year,Yes,2630.0,124.0,206,0
12655,Female,48,1,28.0,1,1-2 Year,No,36327.0,124.0,256,0
5064,Female,24,1,11.0,1,< 1 Year,No,28275.0,152.0,126,0
50336,Male,20,1,28.0,1,< 1 Year,Yes,2630.0,160.0,67,0
47093,Male,59,1,35.0,0,1-2 Year,Yes,32585.0,26.0,138,0
90879,Female,22,1,37.0,0,< 1 Year,Yes,29789.0,152.0,46,0
62131,Male,47,1,39.0,0,1-2 Year,Yes,2630.0,156.0,201,1
73528,Female,45,1,46.0,1,1-2 Year,No,31372.0,26.0,60,0
56094,Female,51,1,39.0,0,1-2 Year,Yes,2630.0,26.0,61,0
2370,Male,51,1,28.0,1,1-2 Year,No,38717.0,124.0,57,0
77874,Female,31,1,28.0,0,1-2 Year,Yes,33322.0,156.0,68,0
12054,Female,33,1,39.0,0,1-2 Year,Yes,32330.0,156.0,90,0
54114,Female,28,1,30.0,1,< 1 Year,No,25813.0,152.0,288,0
79510,Female,22,1,19.0,1,< 1 Year,No,54559.0,152.0,87,0
66575,Male,46,1,0.0,0,1-2 Year,Yes,2630.0,26.0,32,0
17390,Male,49,1,43.0,0,1-2 Year,Yes,2630.0,154.0,102,1
68816,Female,38,1,8.0,0,1-2 Year,Yes,29534.0,124.0,216,0
14972,Male,47,1,35.0,0,1-2 Year,Yes,31801.0,26.0,155,0
1931,Female,43,1,33.0,0,1-2 Year,Yes,2630.0,157.0,162,0
42424,Male,28,1,41.0,1,< 1 Year,Yes,23935.0,152.0,153,0
